,2010,2011,2012,2013,2014
Arizona,35981.7560696045,37334.87232340792,37775.99253574917,36671.062018790355,38171.23852577843
Florida,43371.01139649138,44651.64633180178,46851.57216187401,47042.47565221898,49202.205935519916
Illinois,38590.372978379426,39949.51915118562,41180.06506496017,39494.95193107413,40709.22309476981
Iowa,37397.35703901834,38189.25910272064,38644.2319882712,37504.01309797585,38423.207422773245
Kentucky,55309.1971102399,55680.61025840647,55399.209273504646,52705.850782092326,55203.60986410454
Maryland,41611.79343352374,42781.27669893186,44491.7710097109,42715.69634460362,42434.37822242119
Minnesota,33927.89222320888,35094.06688148821,33281.17563319715,32325.774238710448,34231.6447807856
Nebraska,29343.846711362738,29241.766050659757,29485.464600229967,29569.24942595719,29971.197044038778
North Carolina,43091.30786584075,58329.85075368684,46151.89575316663,46589.79435427176,47045.50650782597
South Carolina,46790.51412218656,47763.5245250743,48406.24638303591,48759.42469479941,49577.63023059252
Tennessee,47983.67853280508,48847.42700402279,46189.31070804032,44980.35212200162,42125.54747025136
Vermont,42056.371918533776,42579.76649352762,43568.975706368095,42715.70240015331,41918.44712370484
