Notes,State,Year,Deaths,Population,Crude Rate,% of Total Deaths
,Arizona,2010,46762,6392017,731.6,1.30%
,Arizona,2011,48381,6472867,747.4,1.40%
,Arizona,2012,49549,6556236,755.8,1.40%
,Arizona,2013,50534,6634997,761.6,1.50%
,Arizona,2014,51538,6731484,765.6,1.50%
Total,Arizona,,246764,32787601,752.6,7.10%
,Florida,2010,173791,18801310,924.4,5.00%
,Florida,2011,173976,19107900,910.5,5.00%
,Florida,2012,177291,19355257,916,5.10%
,Florida,2013,181112,19600311,924,5.20%
,Florida,2014,185956,19893297,934.8,5.30%
Total,Florida,,892126,96758075,922,25.70%
,Illinois,2010,99931,12830632,778.8,2.90%
,Illinois,2011,101906,12858725,792.5,2.90%
,Illinois,2012,102433,12873763,795.7,2.90%
,Illinois,2013,103401,12890552,802.1,3.00%
,Illinois,2014,105293,12880580,817.5,3.00%
Total,Illinois,,512964,64334252,797.3,14.80%
,Iowa,2010,27745,3046355,910.8,0.80%
,Iowa,2011,28184,3064904,919.6,0.80%
,Iowa,2012,28389,3075935,922.9,0.80%
,Iowa,2013,28948,3092341,936.1,0.80%
,Iowa,2014,29190,3107126,939.5,0.80%
Total,Iowa,,142456,15386661,925.8,4.10%
,Kentucky,2010,41983,4339367,967.5,1.20%
,Kentucky,2011,42626,4370038,975.4,1.20%
,Kentucky,2012,43664,4383465,996.1,1.30%
,Kentucky,2013,43759,4399583,994.6,1.30%
,Kentucky,2014,44838,4413457,1015.9,1.30%
Total,Kentucky,,216870,21905910,990,6.20%
,Maryland,2010,43325,5773552,750.4,1.20%
,Maryland,2011,43745,5843833,748.6,1.30%
,Maryland,2012,44477,5891819,754.9,1.30%
,Maryland,2013,45689,5938737,769.3,1.30%
,Maryland,2014,45867,5976407,767.5,1.30%
Total,Maryland,,223103,29424348,758.2,6.40%
,Minnesota,2010,38972,5303925,734.8,1.10%
,Minnesota,2011,39820,5348036,744.6,1.10%
,Minnesota,2012,40016,5380615,743.7,1.20%
,Minnesota,2013,40987,5422060,755.9,1.20%
,Minnesota,2014,41445,5457173,759.5,1.20%
Total,Minnesota,,201240,26911809,747.8,5.80%
,Nebraska,2010,15171,1826341,830.7,0.40%
,Nebraska,2011,15476,1842232,840.1,0.40%
,Nebraska,2012,15659,1855487,843.9,0.50%
,Nebraska,2013,15754,1868969,842.9,0.50%
,Nebraska,2014,15978,1881503,849.2,0.50%
Total,Nebraska,,78038,9274532,841.4,2.20%
,North Carolina,2010,78773,9535483,826.1,2.30%
,North Carolina,2011,79882,9651502,827.7,2.30%
,North Carolina,2012,81925,9748181,840.4,2.40%
,North Carolina,2013,83329,9848917,846.1,2.40%
,North Carolina,2014,85367,9943964,858.5,2.50%
Total,North Carolina,,409276,48728047,839.9,11.80%
,South Carolina,2010,41614,4625364,899.7,1.20%
,South Carolina,2011,42072,4673054,900.3,1.20%
,South Carolina,2012,43198,4722621,914.7,1.20%
,South Carolina,2013,44582,4771929,934.3,1.30%
,South Carolina,2014,45454,4832482,940.6,1.30%
Total,South Carolina,,216920,23625450,918.2,6.20%
,Tennessee,2010,59578,6346105,938.8,1.70%
,Tennessee,2011,60541,6398389,946.2,1.70%
,Tennessee,2012,61956,6455177,959.8,1.80%
,Tennessee,2013,63406,6497269,975.9,1.80%
,Tennessee,2014,64661,6549352,987.3,1.90%
Total,Tennessee,,310142,32246292,961.8,8.90%
,Vermont,2010,5380,625741,859.8,0.20%
,Vermont,2011,5433,626450,867.3,0.20%
,Vermont,2012,5491,626138,877,0.20%
,Vermont,2013,5639,626855,899.6,0.20%
,Vermont,2014,5623,626562,897.4,0.20%
Total,Vermont,,27566,3131746,880.2,0.80%
Total,,,3477465,404514723,859.7,100.00%
