Notes,State,Year,"Crude Rate Per 100,000",,,
,Arizona,2010,731.6,,,
,Arizona,2011,747.4,,,
,Arizona,2012,755.8,,,
,Arizona,2013,761.6,,,
,Arizona,2014,765.6,,,
Total,Arizona,,752.6,,,
,Florida,2010,924.4,,,
,Florida,2011,910.5,,,
,Florida,2012,916,,,
,Florida,2013,924,,,
,Florida,2014,934.8,,,
Total,Florida,,922,,,
,Illinois,2010,778.8,,,
,Illinois,2011,792.5,,,
,Illinois,2012,795.7,,,
,Illinois,2013,802.1,,,
,Illinois,2014,817.5,,,
Total,Illinois,,797.3,,,
,Iowa,2010,910.8,,,
,Iowa,2011,919.6,,,
,Iowa,2012,922.9,,,
,Iowa,2013,936.1,,,
,Iowa,2014,939.5,,,
Total,Iowa,,925.8,,,
,Kentucky,2010,967.5,,,
,Kentucky,2011,975.4,,,
,Kentucky,2012,996.1,,,
,Kentucky,2013,994.6,,,
,Kentucky,2014,1015.9,,,
Total,Kentucky,,990,,,
,Maryland,2010,750.4,,,
,Maryland,2011,748.6,,,
,Maryland,2012,754.9,,,
,Maryland,2013,769.3,,,
,Maryland,2014,767.5,,,
Total,Maryland,,758.2,,,
,Minnesota,2010,734.8,,,
,Minnesota,2011,744.6,,,
,Minnesota,2012,743.7,,,
,Minnesota,2013,755.9,,,
,Minnesota,2014,759.5,,,
Total,Minnesota,,747.8,,,
,Nebraska,2010,830.7,,,
,Nebraska,2011,840.1,,,
,Nebraska,2012,843.9,,,
,Nebraska,2013,842.9,,,
,Nebraska,2014,849.2,,,
Total,Nebraska,,841.4,,,
,North Carolina,2010,826.1,,,
,North Carolina,2011,827.7,,,
,North Carolina,2012,840.4,,,
,North Carolina,2013,846.1,,,
,North Carolina,2014,858.5,,,
Total,North Carolina,,839.9,,,
,South Carolina,2010,899.7,,,
,South Carolina,2011,900.3,,,
,South Carolina,2012,914.7,,,
,South Carolina,2013,934.3,,,
,South Carolina,2014,940.6,,,
Total,South Carolina,,918.2,,,
,Tennessee,2010,938.8,,,
,Tennessee,2011,946.2,,,
,Tennessee,2012,959.8,,,
,Tennessee,2013,975.9,,,
,Tennessee,2014,987.3,,,
Total,Tennessee,,961.8,,,
,Vermont,2010,859.8,,,
,Vermont,2011,867.3,,,
,Vermont,2012,877,,,
,Vermont,2013,899.6,,,
,Vermont,2014,897.4,,,
Total,Vermont,,880.2,,,
Total,,,859.7,,,
