Notes,Year,Year Code,State,Deaths,Population,% of Total Deaths
,2010,2010,Arizona,46762,6392017,1.30%
,2010,2010,Florida,173791,18801310,5.00%
,2010,2010,Illinois,99931,12830632,2.90%
,2010,2010,Iowa,27745,3046355,0.80%
,2010,2010,Kentucky,41983,4339367,1.20%
,2010,2010,Maryland,43325,5773552,1.20%
,2010,2010,Minnesota,38972,5303925,1.10%
,2010,2010,Nebraska,15171,1826341,0.40%
,2010,2010,North Carolina,78773,9535483,2.30%
,2010,2010,South Carolina,41614,4625364,1.20%
,2010,2010,Tennessee,59578,6346105,1.70%
,2010,2010,Vermont,5380,625741,0.20%
Total,2010,2010,,673025,79446192,19.40%
,2011,2011,Arizona,48381,6472867,1.40%
,2011,2011,Florida,173976,19107900,5.00%
,2011,2011,Illinois,101906,12858725,2.90%
,2011,2011,Iowa,28184,3064904,0.80%
,2011,2011,Kentucky,42626,4370038,1.20%
,2011,2011,Maryland,43745,5843833,1.30%
,2011,2011,Minnesota,39820,5348036,1.10%
,2011,2011,Nebraska,15476,1842232,0.40%
,2011,2011,North Carolina,79882,9651502,2.30%
,2011,2011,South Carolina,42072,4673054,1.20%
,2011,2011,Tennessee,60541,6398389,1.70%
,2011,2011,Vermont,5433,626450,0.20%
Total,2011,2011,,682042,80257930,19.60%
,2012,2012,Arizona,49549,6556236,1.40%
,2012,2012,Florida,177291,19355257,5.10%
,2012,2012,Illinois,102433,12873763,2.90%
,2012,2012,Iowa,28389,3075935,0.80%
,2012,2012,Kentucky,43664,4383465,1.30%
,2012,2012,Maryland,44477,5891819,1.30%
,2012,2012,Minnesota,40016,5380615,1.20%
,2012,2012,Nebraska,15659,1855487,0.50%
,2012,2012,North Carolina,81925,9748181,2.40%
,2012,2012,South Carolina,43198,4722621,1.20%
,2012,2012,Tennessee,61956,6455177,1.80%
,2012,2012,Vermont,5491,626138,0.20%
Total,2012,2012,,694048,80924694,20.00%
,2013,2013,Arizona,50534,6634997,1.50%
,2013,2013,Florida,181112,19600311,5.20%
,2013,2013,Illinois,103401,12890552,3.00%
,2013,2013,Iowa,28948,3092341,0.80%
,2013,2013,Kentucky,43759,4399583,1.30%
,2013,2013,Maryland,45689,5938737,1.30%
,2013,2013,Minnesota,40987,5422060,1.20%
,2013,2013,Nebraska,15754,1868969,0.50%
,2013,2013,North Carolina,83329,9848917,2.40%
,2013,2013,South Carolina,44582,4771929,1.30%
,2013,2013,Tennessee,63406,6497269,1.80%
,2013,2013,Vermont,5639,626855,0.20%
Total,2013,2013,,707140,81592520,20.30%
,2014,2014,Arizona,51538,6731484,1.50%
,2014,2014,Florida,185956,19893297,5.30%
,2014,2014,Illinois,105293,12880580,3.00%
,2014,2014,Iowa,29190,3107126,0.80%
,2014,2014,Kentucky,44838,4413457,1.30%
,2014,2014,Maryland,45867,5976407,1.30%
,2014,2014,Minnesota,41445,5457173,1.20%
,2014,2014,Nebraska,15978,1881503,0.50%
,2014,2014,North Carolina,85367,9943964,2.50%
,2014,2014,South Carolina,45454,4832482,1.30%
,2014,2014,Tennessee,64661,6549352,1.90%
,2014,2014,Vermont,5623,626562,0.20%
Total,2014,2014,,721210,82293387,20.70%
Total,,,,3477465,404514723,100.00%
