STATE,2010,2011,2012,2013,2014
Arizona,731.6,747.4,755.8,761.6,765.6
Florida,924.4,910.5,916,924,934.8
Illinois,778.8,792.5,795.7,802.1,817.5
Iowa,910.8,919.6,922.9,936.1,939.5
Kentucky,967.5,975.4,996.1,994.6,1015.9
Maryland,750.4,748.6,754.9,769.3,767.5
Minnesota,734.8,744.6,743.7,755.9,759.5
Nebraska,830.7,840.1,843.9,842.9,849.2
North Carolina,826.1,827.7,840.4,846.1,858.5
South Carolina,899.7,900.3,914.7,934.3,940.6
Tennessee,938.8,946.2,959.8,975.9,987.3
Vermont,859.8,867.3,877,899.6,897.4
