State,2010,2011,2012,2013,2014
ARIZONA,5245000,5283000,5313000,5403000,5720000
FLORIDA,14593000,14841000,15195000,15392000,16338000
ILLINOIS,10928000,11029000,11076000,11086000,11464000
IOWA,2725000,2748000,2775000,2798000,2874000
KENTUCKY,3596000,3666000,3697000,3696000,3962000
MARYLAND,5047000,5138000,5191000,5241000,5423000
MINNESOTA,4776000,4819000,4895000,4923000,5081000
NEBRASKA,1594000,1607000,1621000,1632000,1674000
NORTH CAROLINA,7791000,7916000,7970000,8136000,8476000
SOUTH CAROLINA,3742000,3813000,3845000,3939000,4092000
TENNESSEE,5361000,5380000,5473000,5508000,5672000
VERMONT,570000,579000,580000,576000,590000
