State,2010,2011,2012,2013,2014
ARIZONA,1065000,1095000,1131000,1118000,903000
FLORIDA,3941000,3911000,3816000,3853000,3245000
ILLINOIS,1746000,1659000,1622000,1618000,1238000
IOWA,280000,269000,254000,248000,189000
KENTUCKY,647000,618000,595000,616000,366000
MARYLAND,641000,598000,598000,593000,463000
MINNESOTA,476000,467000,425000,440000,317000
NEBRASKA,208000,207000,206000,209000,179000
NORTH CAROLINA,1570000,1545000,1582000,1509000,1276000
SOUTH CAROLINA,795000,766000,778000,739000,642000
TENNESSEE,899000,923000,882000,887000,776000
VERMONT,50000,41000,40000,45000,31000
