State,Year,Year Code,Deaths,Population,Crude Rate
Alabama,1999,1999,44806,4430141,1011.4
Alabama,2000,2000,45062,4447100,1013.3
Alabama,2001,2001,45316,4467634,1014.3
Alabama,2002,2002,46069,4480089,1028.3
Alabama,2003,2003,46716,4503491,1037.3
Alabama,2004,2004,46121,4530729,1018
Alabama,2005,2005,47090,4569805,1030.5
Alabama,2006,2006,46977,4628981,1014.8
Alabama,2007,2007,46696,4672840,999.3
Alabama,2008,2008,47707,4718206,1011.1
Alabama,2009,2009,47470,4757938,997.7
Alabama,2010,2010,48038,4779736,1005
Alabama,2011,2011,48681,4802740,1013.6
Alabama,2012,2012,49301,4822023,1022.4
Alabama,2013,2013,50189,4833722,1038.3
Alabama,2014,2014,50215,4849377,1035.5
Alabama,2015,2015,51909,4858979,1068.3
Alabama,2016,2016,52466,4863300,1078.8
Alabama,2017,2017,53238,4874747,1092.1
Alabama,,,914067,88891578,1028.3
Alaska,1999,1999,2708,624779,433.4
Alaska,2000,2000,2914,626932,464.8
Alaska,2001,2001,2974,633714,469.3
Alaska,2002,2002,3030,642337,471.7
Alaska,2003,2003,3180,648414,490.4
Alaska,2004,2004,3051,659286,462.8
Alaska,2005,2005,3168,666946,475
Alaska,2006,2006,3354,675302,496.7
Alaska,2007,2007,3463,680300,509
Alaska,2008,2008,3494,687455,508.3
Alaska,2009,2009,3618,698895,517.7
Alaska,2010,2010,3728,710231,524.9
Alaska,2011,2011,3849,722718,532.6
Alaska,2012,2012,3912,731449,534.8
Alaska,2013,2013,3997,735132,543.7
Alaska,2014,2014,4128,736732,560.3
Alaska,2015,2015,4316,738432,584.5
Alaska,2016,2016,4494,741894,605.7
Alaska,2017,2017,4411,739795,596.2
Alaska,,,67789,13100743,517.4
Arizona,1999,1999,40050,5023823,797.2
Arizona,2000,2000,40500,5130632,789.4
Arizona,2001,2001,41058,5273477,778.6
Arizona,2002,2002,42816,5396255,793.4
Arizona,2003,2003,43392,5510364,787.5
Arizona,2004,2004,43198,5652404,764.2
Arizona,2005,2005,45827,5839077,784.8
Arizona,2006,2006,46365,6029141,769
Arizona,2007,2007,45554,6167681,738.6
Arizona,2008,2008,45823,6280362,729.6
Arizona,2009,2009,45816,6343154,722.3
Arizona,2010,2010,46762,6392017,731.6
Arizona,2011,2011,48381,6482505,746.3
Arizona,2012,2012,49549,6553255,756.1
Arizona,2013,2013,50534,6626624,762.6
Arizona,2014,2014,51538,6731484,765.6
Arizona,2015,2015,54299,6828065,795.2
Arizona,2016,2016,56645,6931071,817.3
Arizona,2017,2017,57758,7016270,823.2
Arizona,,,895865,116207661,770.9
Arkansas,1999,1999,27925,2651860,1053
Arkansas,2000,2000,28217,2673400,1055.5
Arkansas,2001,2001,27759,2691571,1031.3
Arkansas,2002,2002,28513,2705927,1053.7
Arkansas,2003,2003,27918,2724816,1024.6
Arkansas,2004,2004,27528,2749686,1001.1
Arkansas,2005,2005,28055,2781097,1008.8
Arkansas,2006,2006,27901,2821761,988.8
Arkansas,2007,2007,28191,2848650,989.6
Arkansas,2008,2008,29322,2874554,1020.1
Arkansas,2009,2009,28673,2896843,989.8
Arkansas,2010,2010,28916,2915918,991.7
Arkansas,2011,2011,29653,2937979,1009.3
Arkansas,2012,2012,30117,2949131,1021.2
Arkansas,2013,2013,30437,2959373,1028.5
Arkansas,2014,2014,30467,2966369,1027.1
Arkansas,2015,2015,31617,2978204,1061.6
Arkansas,2016,2016,31756,2988248,1062.7
Arkansas,2017,2017,32588,3004279,1084.7
Arkansas,,,555553,54119666,1026.5
California,1999,1999,229380,33499204,684.7
California,2000,2000,229551,33871648,677.7
California,2001,2001,234044,34479458,678.8
California,2002,2002,234565,34871843,672.6
California,2003,2003,239371,35253159,679
California,2004,2004,232525,35574576,653.6
California,2005,2005,237037,35827943,661.6
California,2006,2006,237126,36021202,658.3
California,2007,2007,233720,36250311,644.7
California,2008,2008,234766,36604337,641.4
California,2009,2009,232736,36961229,629.7
California,2010,2010,234012,37253956,628.2
California,2011,2011,239942,37691912,636.6
California,2012,2012,242554,38041430,637.6
California,2013,2013,248359,38332521,647.9
California,2014,2014,245929,38802500,633.8
California,2015,2015,259206,39144818,662.2
California,2016,2016,262240,39250017,668.1
California,2017,2017,268189,39536653,678.3
California,,,4575252,697268717,656.2
Colorado,1999,1999,27114,4226018,641.6
Colorado,2000,2000,27288,4301261,634.4
Colorado,2001,2001,28294,4425687,639.3
Colorado,2002,2002,29210,4490406,650.5
Colorado,2003,2003,29506,4528732,651.5
Colorado,2004,2004,28309,4575013,618.8
Colorado,2005,2005,29627,4631888,639.6
Colorado,2006,2006,29521,4720423,625.4
Colorado,2007,2007,29993,4803868,624.4
Colorado,2008,2008,31274,4889730,639.6
Colorado,2009,2009,31173,4972195,626.9
Colorado,2010,2010,31465,5029196,625.6
Colorado,2011,2011,32563,5116796,636.4
Colorado,2012,2012,33133,5187582,638.7
Colorado,2013,2013,33712,5268367,639.9
Colorado,2014,2014,35237,5355866,657.9
Colorado,2015,2015,36349,5456574,666.2
Colorado,2016,2016,37530,5540545,677.4
Colorado,2017,2017,38063,5607154,678.8
Colorado,,,599361,93127301,643.6
Connecticut,1999,1999,29446,3386401,869.5
Connecticut,2000,2000,30129,3405565,884.7
Connecticut,2001,2001,29827,3432835,868.9
Connecticut,2002,2002,30122,3458749,870.9
Connecticut,2003,2003,29627,3484336,850.3
Connecticut,2004,2004,29314,3496094,838.5
Connecticut,2005,2005,29467,3506956,840.2
Connecticut,2006,2006,29260,3517460,831.9
Connecticut,2007,2007,28651,3527270,812.3
Connecticut,2008,2008,28794,3545579,812.1
Connecticut,2009,2009,28585,3561807,802.5
Connecticut,2010,2010,28692,3574097,802.8
