Location,Health Spending per Capita
United States,7535
Alabama,6821
Alaska,10130
Arizona,6183
Arkansas,6804
California,7018
Colorado,6306
Connecticut,9300
Delaware,9433
District of Columbia,11223
Florida,7635
Georgia,6009
Hawaii,6803
Idaho,6380
Illinois,7665
Indiana,7848
Iowa,7648
Kansas,7477
Kentucky,7289
Louisiana,7303
Maine,9001
Maryland,8115
Massachusetts,10071
Michigan,7637
Minnesota,8177
Mississippi,7369
Missouri,7758
Montana,7645
Nebraska,7979
Nevada,6026
New Hampshire,9048
New Jersey,8269
New Mexico,6771
New York,9076
North Carolina,7073
North Dakota,8977
Ohio,8072
Oklahoma,7175
Oregon,7119
Pennsylvania,8632
Rhode Island,8961
South Carolina,6853
South Dakota,8335
Tennessee,7007
Texas,6559
Utah,5543
Vermont,9302
Virginia,7145
Washington,7461
West Virginia,8764
Wisconsin,8061
Wyoming,7833
,
Notes,
"The Centers for Medicare and Medicaid Services (CMS) Office of the Actuary produces Health Expenditures by State of Residence and Health Expenditures by State of Provider every five years. The State Health Expenditure Accounts are a subcomponent of the National Health Expenditure Accounts (NHEA), the official government estimates of health spending in the United States.  ",
,
Additional information on data and methods is available [here.](http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html)  ,
,
"For additional analysis of these data, please see Health Affairs article, [""Health Spending by State, 1991-2014: Measuring Per Capita Spending by Payer and Programs""](http://content.healthaffairs.org/content/early/2017/06/13/hlthaff.2017.0416).",
,
Sources,
"Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group. [National Health Expenditure Data: Health Expenditures by State of Residence](https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html), June 2017.",
,
"U.S. Population by State, 1991-2014 obtained from the U.S. Bureau of the Census, June 2017.",
,
Definitions,
"*Health Spending Per Capita* includes spending for all privately and publicly funded personal health care services and products (hospital care, physician services, nursing home care, prescription drugs, etc.) by state of residence (aggregate spending divided by population). Hospital spending is included and reflects the total net revenue (gross charges less contractual adjustments, bad debts, and charity care). Costs such as insurance program administration, research, and construction expenses are not included in this total.",
