,2010,2011,2012,2013,2014
Arizona,16.621997973520923,16.917355089721465,17.25406248503046,16.855718068666395,13.416710088964823
Florida,20.91211303769163,20.526695805022527,19.774252244631544,19.712855375636313,16.350975271429967
Illinois,13.597598162626495,12.892993439106135,12.59071407668226,12.547373508244858,9.608449474884265
Iowa,9.178086008499562,8.772685054736337,8.256967222440746,8.018113176314106,6.078440831685079
Kentucky,14.87978536312081,14.142455720726318,13.564821379799952,13.985191589178639,8.291143269369956
Maryland,11.07340318848366,10.240744841224785,10.157989003552238,10.011500563547873,7.771999416512528
Minnesota,8.96282086333807,8.735269520474855,7.9045605222440845,8.127860106227438,5.815362426411358
Nebraska,11.36896556624554,11.2458928043671,11.11528983657826,11.204758108572497,9.52471663967997
North Carolina,16.39802626253574,15.997776671451849,16.226513096703865,15.33016855261265,12.846214801396613
South Carolina,17.14970223155377,16.39556900115882,16.492296316960736,15.511914157612802,13.309514416256516
Tennessee,14.145649205837449,14.423472850351704,13.66615958293732,13.658046853105935,11.863224965728886
Vermont,7.9887646014645,6.538563971874606,6.3888578319410945,7.1860877341466916,4.958302277300252
